file,size(BYTE),size(KB),size(MB),resolution(DPI)
Florence/20180919a_jpgs/jpgs/C26259393.jpg,7515620,7339.472656,7.167453766,300
Florence/20180919a_jpgs/jpgs/C26259889.jpg,14186975,13854.46777,13.52975368,300
Florence/20180919a_jpgs/jpgs/C26262736.jpg,7284157,7113.43457,6.946713448,300
Florence/20180919a_jpgs/jpgs/C26263010.jpg,6607096,6452.242188,6.301017761,300
Florence/20180919a_jpgs/jpgs/P26251707.jpg,6603971,6449.19043,6.298037529,96
Florence/20180919a_jpgs/jpgs/P26253126.jpg,7728541,7547.40332,7.370511055,96
Florence/20180919a_jpgs/jpgs/P26253561.jpg,11593812,11322.08203,11.05672073,96
Florence/20180919a_jpgs/jpgs/P26253601.jpg,7926045,7740.27832,7.558865547,96
Florence/20180919a_jpgs/jpgs/P26253657.jpg,6130528,5986.84375,5.8465271,96
Florence/20180919a_jpgs/jpgs/P26254632.jpg,7192132,7023.566406,6.858951569,96
Florence/20180919a_jpgs/jpgs/P26254824.jpg,9000866,8789.908203,8.58389473,96
Florence/20180919a_jpgs/jpgs/P26256597.jpg,4921020,4805.683594,4.693050385,96
Florence/20180919a_jpgs/jpgs/P26262619.jpg,9287462,9069.787109,8.857213974,96
Florence/20180919a_jpgs/jpgs/S26253213.jpg,7332684,7160.824219,6.992992401,96
Florence/20180919a_jpgs/jpgs/S26253432.jpg,3411749,3331.786133,3.253697395,96
Florence/20180919a_jpgs/jpgs/S26253464.jpg,8395419,8198.651367,8.006495476,96
Florence/20180919a_jpgs/jpgs/S26253989.jpg,7103880,6937.382813,6.774787903,96
Florence/20180919a_jpgs/jpgs/S26254776.jpg,8122078,7931.716797,7.745817184,96
Florence/20180919a_jpgs/jpgs/S26255671.jpg,5594673,5463.547852,5.335495949,96
Florence/20180919a_jpgs/jpgs/S26256196.jpg,13861146,13536.27539,13.21901894,96
Florence/20180919a_jpgs/jpgs/S26256212.jpg,7449752,7275.148438,7.104637146,96
Florence/20180919a_jpgs/jpgs/S26256308.jpg,5838526,5701.685547,5.568052292,96
Florence/20180919a_jpgs/jpgs/S26256836.jpg,6021899,5880.760742,5.742930412,96
Florence/20180919a_jpgs/jpgs/S26257341.jpg,6553840,6400.234375,6.250228882,96
Florence/20180919a_jpgs/jpgs/S26259403.jpg,4243238,4143.787109,4.046667099,96
Florence/20180919a_jpgs/jpgs/S26260562.jpg,9124373,8910.520508,8.701680183,96
Florence/20180919b_jpgs/jpgs/C26272794.jpg,7537377,7360.719727,7.188202858,300
Florence/20180919b_jpgs/jpgs/C26273569.jpg,7422010,7248.056641,7.078180313,300
Florence/20180919b_jpgs/jpgs/C26274977.jpg,3262123,3185.666992,3.111002922,300
Florence/20180919b_jpgs/jpgs/C26275362.jpg,7285555,7114.799805,6.948046684,300
Florence/20180919b_jpgs/jpgs/C26275446.jpg,6627054,6471.732422,6.320051193,300
Florence/20180919b_jpgs/jpgs/C26275740.jpg,5914472,5775.851563,5.640480042,300
Florence/20180919b_jpgs/jpgs/C26276105.jpg,4741893,4630.754883,4.522221565,300
Florence/20180919b_jpgs/jpgs/C26276224.jpg,9904563,9672.424805,9.445727348,300
Florence/20180919b_jpgs/jpgs/C26276392.jpg,10950628,10693.97266,10.44333267,300
Florence/20180919b_jpgs/jpgs/C26276735.jpg,5492876,5364.136719,5.238414764,300
Florence/20180919b_jpgs/jpgs/C26276855.jpg,9034818,8823.064453,8.61627388,300
Florence/20180919b_jpgs/jpgs/P26271925.jpg,7104473,6937.961914,6.775353432,96
Florence/20180919b_jpgs/jpgs/P26272891.jpg,6566294,6412.396484,6.262105942,96
Florence/20180919b_jpgs/jpgs/P26273267.jpg,6939647,6776.999023,6.618163109,96
Florence/20180919b_jpgs/jpgs/P26274391.jpg,10683910,10433.50586,10.18897057,96
Florence/20180919b_jpgs/jpgs/P26275123.jpg,7187859,7019.393555,6.854876518,96
Florence/20180919b_jpgs/jpgs/P26275648.jpg,6563191,6409.366211,6.25914669,96
Florence/20180919b_jpgs/jpgs/P26275775.jpg,7907383,7722.053711,7.541068077,96
Florence/20180919b_jpgs/jpgs/P26276903.jpg,5608138,5476.697266,5.348337173,96
Florence/20180919b_jpgs/jpgs/S26272623.jpg,6880470,6719.208984,6.561727524,96
Florence/20180919b_jpgs/jpgs/S26272925.jpg,6048998,5907.224609,5.768774033,96
Florence/20180919b_jpgs/jpgs/S26273469.jpg,7178088,7009.851563,6.845558167,96
Florence/20180919b_jpgs/jpgs/S26275079.jpg,6443670,6292.646484,6.145162582,96
Florence/20180919b_jpgs/jpgs/S26275234.jpg,6904676,6742.847656,6.584812164,96
Florence/20180919b_jpgs/jpgs/S26275423.jpg,4170190,4072.451172,3.977003098,96
Florence/20180919b_jpgs/jpgs/S26276523.jpg,8614208,8412.3125,8.215148926,96
Florence/20180919b_jpgs/jpgs/S26276572.jpg,3808341,3719.083008,3.631917,96
Florence/20180919b_jpgs/jpgs/S26276586.jpg,6186037,6041.051758,5.899464607,96
